game_pk,pitcher,np,ip,k,hits,bb
718289,592767,83.0,4.0,5.0,3.0,3.0
718290,656731,96.0,5.0,4.0,6.0,3.0
718291,656876,87.0,6.0,6.0,2.0,2.0
718262,668933,52.0,2.0,3.0,6.0,2.0
718263,669194,90.0,5.0,3.0,7.0,1.0
718264,660761,74.0,3.0,3.0,6.0,3.0
718265,682243,85.0,6.0,5.0,2.0,1.0
718266,605397,81.0,6.0,5.0,2.0,3.0
718267,548389,90.0,5.0,3.0,7.0,2.0
718268,642232,66.0,6.0,2.0,3.0,0.0
718269,669713,84.0,6.0,6.0,5.0,0.0
718270,592836,85.0,6.0,6.0,3.0,0.0
718271,642770,18.0,1.0,1.0,1.0,1.0
718272,571927,84.0,6.0,2.0,5.0,0.0
718273,615698,95.0,7.0,3.0,1.0,3.0
718276,664192,70.0,4.0,4.0,4.0,3.0
718277,693821,96.0,6.0,4.0,4.0,4.0
718278,672710,94.0,5.0,4.0,9.0,3.0
718249,668678,90.0,7.0,7.0,5.0,1.0
718251,669302,91.0,7.0,10.0,3.0,1.0
718253,425844,81.0,6.0,2.0,6.0,1.0
718254,663776,92.0,7.0,2.0,7.0,0.0
718255,641482,89.0,6.0,4.0,6.0,2.0
718256,573186,89.0,6.0,6.0,4.0,1.0
718257,642547,94.0,6.0,5.0,3.0,2.0
718258,656605,103.0,9.0,8.0,4.0,1.0
718259,502043,93.0,7.0,4.0,6.0,2.0
718260,543101,92.0,7.0,3.0,10.0,1.0
718261,676440,67.0,4.0,2.0,7.0,4.0
718236,694297,88.0,5.0,3.0,7.0,2.0
718237,660271,103.0,7.0,7.0,6.0,2.0
718238,543475,112.0,9.0,6.0,6.0,0.0
