game_pk,pitcher,np,ip,k,hits,bb
718270,656557,74.0,6.0,4.0,5.0,1.0
718271,543037,95.0,6.0,5.0,8.0,2.0
718272,656412,72.0,5.0,1.0,3.0,0.0
718273,657746,100.0,6.0,4.0,8.0,0.0
718276,663372,83.0,4.0,3.0,4.0,6.0
718277,669330,96.0,5.0,4.0,3.0,1.0
718278,579328,93.0,7.0,3.0,4.0,2.0
718249,666129,87.0,6.0,6.0,7.0,1.0
718251,592351,89.0,7.0,8.0,4.0,0.0
718253,656302,97.0,6.0,6.0,9.0,1.0
718254,686613,95.0,5.0,3.0,9.0,1.0
718255,676664,73.0,6.0,4.0,6.0,0.0
718256,571945,96.0,5.0,7.0,4.0,3.0
718257,664062,80.0,6.0,6.0,3.0,0.0
718258,607536,100.0,7.0,3.0,7.0,3.0
718259,663556,102.0,6.0,7.0,4.0,4.0
718260,663623,92.0,7.0,5.0,4.0,3.0
718261,666214,92.0,6.0,5.0,3.0,3.0
718236,666200,104.0,6.0,5.0,7.0,2.0
718237,664285,99.0,8.0,12.0,3.0,0.0
718238,608337,93.0,6.0,9.0,5.0,2.0
718239,571760,98.0,7.0,7.0,4.0,2.0
